data,post_list,sum_list
6,-10.0,87.0
18,-11.0,77.0
9,-11.0,88.0
12,-11.0,77.0
18,-12.0,66.0
6,-13.0,54.0
9,-13.0,67.0
24,-13.0,54.0
14,-14.0,41.0
12,-15.0,27.0
15,-15.0,42.0
1,-14.0,57.0
9,-13.0,71.0
14,-13.0,58.0
14,-14.0,45.0
13,-14.0,59.0
14,-14.0,45.0
12,-15.0,31.0
9,-15.0,46.0
10,-15.0,31.0
18,-16.0,16.0
9,-16.0,32.0
10,-16.0,16.0
26,-17.0,0.0
14,-18.0,-17.0
11,-18.0,1.0
12,-18.0,-17.0
19,-18.0,1.0
22,-18.0,-17.0
9,-18.0,1.0
19,-17.0,19.0
10,-17.0,2.0
10,-18.0,-15.0
24,-19.0,-33.0
17,-19.0,-14.0
13,-18.0,5.0
18,-18.0,-13.0
22,-19.0,-31.0
15,-19.0,-12.0
5,-18.0,7.0
17,-17.0,25.0
15,-16.0,42.0
2,-16.0,26.0
6,-17.0,10.0
18,-18.0,-7.0
13,-18.0,11.0
13,-17.0,29.0
10,-17.0,12.0
13,-17.0,29.0
11,-16.0,46.0
13,-15.0,62.0
13,-14.0,77.0
9,-13.0,91.0
13,-12.0,104.0
13,-11.0,116.0
16,-11.0,105.0
10,-12.0,94.0
6,-13.0,82.0
22,-14.0,69.0
5,-14.0,83.0
23,-13.0,97.0
8,-13.0,84.0
11,-13.0,97.0
8,-13.0,84.0
15,-13.0,97.0
13,-12.0,110.0
14,-12.0,98.0
4,-13.0,86.0
16,-14.0,73.0
16,-15.0,59.0
17,-15.0,74.0
8,-15.0,59.0
14,-16.0,44.0
10,-17.0,28.0
12,-18.0,11.0
17,-18.0,29.0
20,-18.0,11.0
18,-19.0,-7.0
21,-19.0,12.0
12,-19.0,-7.0
12,-20.0,-26.0
20,-21.0,-46.0
11,-21.0,-25.0
18,-21.0,-46.0
20,-22.0,-67.0
9,-22.0,-45.0
10,-22.0,-67.0
15,-22.0,-45.0
12,-22.0,-67.0
15,-22.0,-45.0
18,-22.0,-67.0
19,-22.0,-45.0
9,-21.0,-23.0
3,-20.0,-2.0
7,-19.0,18.0
5,-18.0,37.0
17,-17.0,55.0
13,-16.0,72.0
18,-16.0,56.0
15,-16.0,72.0
10,-16.0,56.0
18,-17.0,40.0
14,-18.0,23.0
17,-18.0,41.0
5,-17.0,59.0
10,-17.0,42.0
7,-17.0,59.0
15,-16.0,76.0
23,-15.0,92.0
12,-15.0,77.0
12,-16.0,62.0
12,-17.0,46.0
21,-17.0,63.0
22,-17.0,46.0
17,-17.0,63.0
11,-16.0,80.0
13,-15.0,96.0
13,-14.0,111.0
14,-14.0,97.0
16,-15.0,83.0
14,-16.0,68.0
21,-16.0,84.0
16,-16.0,68.0
8,-17.0,52.0
19,-17.0,69.0
7,-16.0,86.0
5,-15.0,102.0
10,-15.0,87.0
17,-15.0,102.0
16,-15.0,87.0
12,-16.0,72.0
20,-17.0,56.0
19,-17.0,73.0
13,-16.0,90.0
20,-16.0,74.0
12,-17.0,58.0
12,-18.0,41.0
13,-18.0,59.0
15,-17.0,77.0
8,-17.0,60.0
18,-18.0,43.0
15,-18.0,61.0
15,-17.0,79.0
9,-16.0,96.0
11,-15.0,112.0
13,-14.0,127.0
16,-14.0,113.0
20,-15.0,99.0
15,-15.0,114.0
13,-14.0,129.0
15,-13.0,143.0
12,-13.0,130.0
16,-14.0,117.0
13,-14.0,131.0
13,-13.0,145.0
16,-13.0,132.0
10,-14.0,119.0
17,-14.0,133.0
5,-13.0,147.0
6,-13.0,134.0
13,-13.0,147.0
18,-13.0,134.0
4,-14.0,121.0
17,-14.0,135.0
16,-14.0,121.0
17,-14.0,135.0
9,-13.0,149.0
14,-13.0,136.0
17,-13.0,149.0
14,-13.0,136.0
11,-13.0,149.0
14,-13.0,136.0
12,-14.0,123.0
7,-14.0,137.0
7,-13.0,151.0
13,-12.0,164.0
18,-12.0,152.0
20,-13.0,140.0
10,-14.0,127.0
17,-14.0,141.0
11,-13.0,155.0
7,-12.0,168.0
16,-12.0,156.0
18,-13.0,144.0
13,-13.0,157.0
10,-13.0,144.0
24,-14.0,131.0
3,-14.0,145.0
7,-13.0,159.0
10,-13.0,146.0
17,-13.0,159.0
15,-12.0,172.0
13,-11.0,184.0
11,-10.0,195.0
11,-9.0,205.0
22,-9.0,196.0
12,-10.0,187.0
17,-10.0,197.0
5,-9.0,207.0
8,-9.0,198.0
20,-10.0,189.0
24,-11.0,179.0
12,-12.0,168.0
10,-13.0,156.0
16,-14.0,143.0
2,-15.0,129.0
15,-15.0,144.0
17,-14.0,159.0
20,-14.0,145.0
17,-14.0,159.0
9,-13.0,173.0
16,-13.0,160.0
10,-14.0,147.0
12,-15.0,133.0
22,-16.0,118.0
12,-17.0,102.0
17,-17.0,119.0
15,-16.0,136.0
18,-16.0,120.0
13,-16.0,136.0
10,-16.0,120.0
15,-16.0,136.0
12,-16.0,120.0
9,-16.0,136.0
18,-16.0,120.0
11,-16.0,136.0
13,-15.0,152.0
14,-15.0,137.0
15,-15.0,152.0
16,-15.0,137.0
17,-15.0,152.0
23,-14.0,167.0
11,-13.0,181.0
12,-13.0,168.0
23,-13.0,181.0
11,-12.0,194.0
3,-11.0,206.0
9,-10.0,217.0
8,-10.0,207.0
11,-10.0,217.0
22,-10.0,207.0
13,-10.0,217.0
12,-10.0,207.0
15,-10.0,217.0
15,-9.0,227.0
13,-8.0,236.0
15,-7.0,244.0
10,-7.0,237.0
21,-7.0,244.0
10,-7.0,237.0
20,-8.0,230.0
11,-8.0,238.0
12,-8.0,230.0
19,-8.0,238.0
5,-7.0,246.0
12,-7.0,239.0
16,-8.0,232.0
6,-9.0,224.0
9,-9.0,233.0
19,-8.0,242.0
16,-8.0,234.0
19,-8.0,242.0
16,-8.0,234.0
15,-8.0,242.0
13,-7.0,250.0
11,-6.0,257.0
12,-6.0,251.0
17,-6.0,257.0
18,-6.0,251.0
15,-6.0,257.0
20,-6.0,251.0
13,-6.0,257.0
3,-5.0,263.0
18,-5.0,258.0
15,-5.0,263.0
16,-5.0,258.0
14,-6.0,253.0
11,-6.0,259.0
9,-5.0,265.0
11,-4.0,270.0
19,-3.0,274.0
12,-3.0,271.0
9,-3.0,274.0
11,-2.0,277.0
10,-2.0,275.0
10,-3.0,273.0
10,-4.0,270.0
10,-5.0,266.0
7,-5.0,271.0
23,-4.0,276.0
5,-3.0,280.0
14,-3.0,277.0
21,-3.0,280.0
10,-3.0,277.0
19,-3.0,280.0
15,-2.0,283.0
12,-2.0,281.0
19,-2.0,283.0
23,-1.0,285.0
12,-1.0,284.0
23,-1.0,285.0
17,0.0,286.0
13,1.0,286.0
19,2.0,285.0
18,2.0,287.0
12,1.0,289.0
16,0.0,290.0
21,0.0,290.0
22,0.0,290.0
17,0.0,290.0
15,1.0,290.0
5,2.0,289.0
12,2.0,291.0
17,2.0,289.0
17,3.0,287.0
11,4.0,284.0
10,4.0,288.0
9,4.0,284.0
15,5.0,280.0
10,5.0,285.0
13,5.0,280.0
22,5.0,285.0
12,4.0,290.0
11,4.0,286.0
17,5.0,282.0
5,6.0,277.0
12,6.0,283.0
21,6.0,277.0
6,6.0,283.0
7,6.0,277.0
10,6.0,283.0
21,6.0,277.0
16,6.0,283.0
10,5.0,289.0
7,5.0,284.0
22,5.0,289.0
8,4.0,294.0
17,4.0,290.0
7,5.0,286.0
18,5.0,291.0
15,5.0,286.0
3,6.0,281.0
15,7.0,275.0
11,8.0,268.0
5,9.0,260.0
12,9.0,269.0
10,8.0,278.0
3,8.0,270.0
10,8.0,278.0
10,7.0,286.0
5,7.0,279.0
7,8.0,272.0
14,8.0,280.0
3,8.0,272.0
5,9.0,264.0
23,10.0,255.0
9,11.0,245.0
26,11.0,256.0
14,10.0,267.0
9,10.0,257.0
8,10.0,267.0
10,9.0,277.0
10,8.0,286.0
17,8.0,278.0
14,8.0,286.0
9,8.0,278.0
20,8.0,286.0
13,8.0,278.0
19,9.0,270.0
12,9.0,279.0
13,9.0,270.0
16,9.0,279.0
8,8.0,288.0
8,7.0,296.0
8,6.0,303.0
17,6.0,297.0
19,7.0,291.0
14,7.0,298.0
14,6.0,305.0
17,6.0,299.0
12,6.0,305.0
19,6.0,299.0
11,7.0,293.0
15,8.0,286.0
16,8.0,294.0
12,7.0,302.0
14,6.0,309.0
20,5.0,315.0
8,4.0,320.0
9,4.0,316.0
12,4.0,320.0
14,3.0,324.0
15,3.0,321.0
13,4.0,318.0
8,4.0,322.0
18,3.0,326.0
9,3.0,323.0
13,4.0,320.0
22,4.0,324.0
6,3.0,328.0
10,2.0,331.0
18,1.0,333.0
16,0.0,334.0
11,0.0,334.0
19,1.0,334.0
9,2.0,333.0
16,2.0,335.0
14,1.0,337.0
21,1.0,336.0
21,2.0,335.0
8,2.0,337.0
14,1.0,339.0
17,1.0,338.0
14,1.0,339.0
13,1.0,338.0
10,1.0,339.0
10,0.0,340.0
20,-1.0,340.0
15,-1.0,341.0
16,-1.0,340.0
19,-1.0,341.0
15,0.0,342.0
22,0.0,342.0
10,-1.0,342.0
13,-1.0,343.0
6,-1.0,342.0
12,-2.0,341.0
18,-3.0,339.0
13,-3.0,342.0
10,-3.0,339.0
23,-3.0,342.0
17,-2.0,345.0
5,-1.0,347.0
12,-1.0,346.0
14,-2.0,345.0
4,-3.0,343.0
6,-4.0,340.0
13,-4.0,344.0
21,-3.0,348.0
23,-2.0,351.0
11,-1.0,353.0
20,-1.0,352.0
17,-1.0,353.0
17,0.0,354.0
14,0.0,354.0
15,0.0,354.0
14,0.0,354.0
22,-1.0,354.0
8,-2.0,353.0
15,-2.0,355.0
12,-2.0,353.0
18,-3.0,351.0
7,-3.0,354.0
22,-3.0,351.0
17,-3.0,354.0
3,-2.0,357.0
20,-2.0,355.0
7,-2.0,357.0
13,-1.0,359.0
11,0.0,360.0
19,1.0,360.0
17,2.0,359.0
11,3.0,357.0
19,4.0,354.0
3,5.0,350.0
16,5.0,355.0
17,5.0,350.0
5,6.0,345.0
19,7.0,339.0
10,7.0,346.0
15,7.0,339.0
17,8.0,332.0
24,8.0,340.0
12,7.0,348.0
19,7.0,341.0
17,8.0,334.0
15,9.0,326.0
13,10.0,317.0
25,11.0,307.0
16,11.0,318.0
21,11.0,307.0
10,11.0,318.0
12,10.0,329.0
6,9.0,339.0
9,9.0,330.0
14,9.0,339.0
9,9.0,330.0
22,9.0,339.0
17,9.0,330.0
9,10.0,321.0
19,11.0,311.0
11,12.0,300.0
8,12.0,312.0
13,12.0,300.0
18,12.0,312.0
11,12.0,300.0
22,12.0,312.0
13,12.0,300.0
8,12.0,312.0
5,12.0,300.0
15,13.0,288.0
9,14.0,275.0
8,14.0,289.0
20,13.0,303.0
23,13.0,290.0
8,13.0,303.0
17,13.0,290.0
8,13.0,303.0
15,13.0,290.0
13,14.0,277.0
17,15.0,263.0
