01,02,03,04,05
-2.4652309300508595,-2.4678964346000267,-2.469904169505977,-2.4712541347687105,-2.4719463303882265
-2.4082604889730703,-2.407634815483234,-2.4063025409362195,-2.404263665332026,-2.401518188670654
-2.5093169191130276,-2.5124256820826343,-2.5149093309219728,-2.516767865631043,-2.518001286209844
-2.7547968484871075,-2.76775184439284,-2.780271867360172,-2.7923569173891023,-2.8040069944796318
-2.761364906342002,-2.7736119393094283,-2.785419093228057,-2.796786368097889,-2.8077137639189242
-2.5615027903010446,-2.5643398802599253,-2.566577522052554,-2.568215715678932,-2.5692544611390575
-2.534178890014495,-2.535154377477024,-2.5355081901561687,-2.535240328051928,-2.534350791164302
-1.7115764776580171,0.25584747909273986,-0.409900752700441,-7.987558411902636,-29.537409657974155
-0.6518333242294752,0.19094415630106099,-3.848899436923862,-18.552865920181997,-53.08241238052878
-1.9408855545182853,-2.250605705869365,-8.335132469531597,-26.320157199988262,-65.75200136819534
-6.365244776140399,-4.860997572710827,-5.5581504159576465,-12.068153348794757,-30.270792684826098
-7.485353486622975,-3.0736185712840314,1.8962449216395445,5.38714729610451,3.7584108385481105
-4.068688740535414,2.949025594307889,10.981044787028871,17.869331412353596,19.77386397855244
3.8465732655119957,9.922385584280924,12.52780966611962,6.458485406598534,-16.395484970723796
9.564369287070166,12.99782389976464,8.719149990410267,-10.824813908626084,-56.90788536984678
11.109987644264946,11.475270085669385,1.8551195716664015,-26.011952903302145,-84.18041266639669
7.629927557981158,8.09696959798914,1.5385756699860158,-17.78295842435486,-58.19395527190831
6.091296932985996,5.160130181972617,-2.4059809863446713,-21.529144241470586,-59.2435244187833
1.0244119355850003,-1.8659140274469124,-9.332974655190448,-23.997392415207337,-49.41986113158147
-1.6865722253873479,-5.890363179592875,-14.773944631000557,-30.797106293443644,-57.26597969946533
-8.301535832354503,-9.607371856721954,-10.849251140154028,-11.838703669610577,-12.30750157770289
-6.9256666100276565,-7.340052867492034,-7.779858451452826,-8.24602672310525,-8.739516459874137
-7.9936354336399384,-8.501692894615491,-9.040307338088791,-9.61058459632753,-10.21364822374979
-6.004465342259969,-6.179611793524574,-6.359773777172646,-6.545029504679626,-6.735457187520948
